"x","Y","piece"
1516.404,-0.0735696331767178,"956_Ia"
1521.128,-0.0735696331767178,"956_Ia"
1525.852,-0.0599129227785668,"956_Ia"
1530.576,0.112430915485424,"956_Ia"
1535.3,0.143975993024815,"956_Ia"
1540.024,-0.0283678452391756,"956_Ia"
1544.748,-0.0283678452391756,"956_Ia"
1549.472,0.159363835726957,"956_Ia"
1554.196,0.159363835726957,"956_Ia"
1558.92,0.240150009913202,"956_Ia"
1563.644,0.240150009913202,"956_Ia"
1568.368,0.23370635078168,"956_Ia"
1573.092,0.307664169768851,"956_Ia"
1577.816,0.23370635078168,"956_Ia"
1582.54,0.23370635078168,"956_Ia"
1587.264,0.23370635078168,"956_Ia"
1591.988,0.0889644553646571,"956_Ia"
1596.712,0.0889644553646571,"956_Ia"
1601.436,-0.0986710515845869,"956_Ia"
1606.16,-0.0986710515845869,"956_Ia"
1610.884,-0.178687833635726,"956_Ia"
1615.608,-0.178687833635726,"956_Ia"
1620.332,-0.178687833635726,"956_Ia"
1625.056,-0.0605861408967854,"956_Ia"
1629.78,0.0289518688263033,"956_Ia"
1634.504,0.0289518688263033,"956_Ia"
1639.228,0.107045170539674,"956_Ia"
1643.952,0.107045170539674,"956_Ia"
1648.676,0.107045170539674,"956_Ia"
0,0.229639272435583,"956_IIc"
4.724,0.229639272435583,"956_IIc"
9.448,0.156189800224684,"956_IIc"
14.172,0.358766439999119,"956_IIc"
18.896,0.156189800224684,"956_IIc"
23.62,0.0942279057570926,"956_IIc"
28.344,0.0942279057570926,"956_IIc"
33.068,0.0942279057570926,"956_IIc"
37.792,0.00930629609555385,"956_IIc"
42.516,0.00930629609555385,"956_IIc"
47.24,-0.131246688040626,"956_IIc"
51.964,-0.131246688040626,"956_IIc"
56.688,-0.131246688040626,"956_IIc"
61.412,-0.131246688040626,"956_IIc"
66.136,-0.0824090423389082,"956_IIc"
70.86,-0.00177983403844311,"956_IIc"
75.584,-0.111112546404508,"956_IIc"
80.308,-0.247048883033633,"956_IIc"
85.032,-0.247048883033633,"956_IIc"
89.756,-0.247048883033633,"956_IIc"
94.48,-0.271182060470176,"956_IIc"
99.204,-0.610034723312381,"956_IIc"
103.928,-0.610034723312381,"956_IIc"
108.652,-0.610034723312381,"956_IIc"
113.376,-0.685599515618485,"956_IIc"
118.1,-0.685599515618485,"956_IIc"
122.824,-0.587445575142412,"956_IIc"
127.548,-0.587445575142412,"956_IIc"
132.272,-0.590332909870904,"956_IIc"
136.996,-0.589545454944952,"956_IIc"
141.72,-0.589545454944952,"956_IIc"
146.444,-0.589545454944952,"956_IIc"
151.168,-0.662222912522563,"956_IIc"
155.892,-0.662222912522563,"956_IIc"
160.616,-0.691605789465455,"956_IIc"
165.34,-0.756593981295531,"956_IIc"
170.064,-0.781452852487364,"956_IIc"
174.788,-0.974904279296349,"956_IIc"
179.512,-0.984847827773082,"956_IIc"
184.236,-1.11198319758274,"956_IIc"
188.96,-1.11198319758274,"956_IIc"
193.684,-0.918516330481087,"956_IIc"
198.408,-1.06694386387679,"956_IIc"
203.132,-1.06694386387679,"956_IIc"
207.856,-0.957858196193378,"956_IIc"
212.58,-0.940842993675739,"956_IIc"
217.304,-1.0286364977731,"956_IIc"
222.028,-0.967739983499448,"956_IIc"
226.752,-0.967739983499448,"956_IIc"
231.476,-0.965254096380265,"956_IIc"
236.2,-0.965254096380265,"956_IIc"
240.924,-0.965254096380265,"956_IIc"
245.648,-0.896961681919722,"956_IIc"
250.372,-0.965254096380265,"956_IIc"
