"whale_index","Sr_DIV_Ca","row_number","millimeters","no_trend","nt_sd"
"SMP_210151",0.000583246113118229,422,67.5442,-1.24574486951636e-05,-0.0888558786926502
"SMP_210151",0.000622793396064659,423,67.7044,2.68984226085275e-05,0.191859748718441
"SMP_210151",0.000593849555065898,424,67.8646,-2.23679803862474e-06,-0.0159545232770784
"SMP_210151",0.000607618017339983,425,68.0248,1.13403077497913e-05,0.08088759058217
"SMP_210151",0.000625740590172018,426,68.185,2.9271538427257e-05,0.208786592767536
"SMP_210151",0.000599755419324529,427,68.3452,3.0950309246727e-06,0.0220760846881503
"SMP_210151",0.000595360590637899,428,68.5054,-1.49113774920197e-06,-0.0106359141586159
"SMP_210151",0.000584676187659399,429,68.6656,-1.23668928787197e-05,-0.0882099666092254
"SMP_210151",0.000598681628929102,430,68.8258,1.44717524456931e-06,0.0103223405630705
"SMP_210151",0.000547831403054746,431,68.986,-4.95944536032232e-05,-0.353744884769794
"SMP_210151",0.000594527020031144,432,69.1462,-3.09027825890569e-06,-0.0220421851070086
"SMP_210151",0.000598665575974206,433,69.3064,8.56788561806056e-07,0.00611125940600066
"SMP_210151",0.000633381246100102,434,69.4666,3.53809132434589e-05,0.252363241633618
"SMP_210151",0.000563850125666569,435,69.6268,-3.4341817787834e-05,-0.244951632562256
"SMP_210151",0.000616515600006309,436,69.787,1.81319719690051e-05,0.129330839818104
"SMP_210151",0.000620994475869239,437,69.9472,2.24190804322693e-05,0.15990971667127
"SMP_210151",0.00061576127607806,438,70.1074,1.69940215930354e-05,0.121214123222299
"SMP_210151",0.000619304121571767,439,70.2676,2.03449075586737e-05,0.145115158190338
"SMP_210151",0.000621459016397382,440,70.4278,2.23077335445845e-05,0.159115507055238
"SMP_210151",0.000653048385164343,441,70.588,5.37049153285794e-05,0.383063784439903
"SMP_210151",0.000634893912217019,442,70.7482,3.53581284234044e-05,0.252200723187318
"SMP_210151",0.000591291223307476,443,70.9084,-8.43701025049742e-06,-0.0601790926610755
"SMP_210151",0.000606135937081261,444,71.0686,6.21510912079514e-06,0.0443308253248804
"SMP_210151",0.000535440862088839,445,71.2288,-6.46727137438764e-05,-0.461294358722214
"SMP_210151",0.000576830601041458,446,71.389,-2.34758849648876e-05,-0.167447640177921
"SMP_210151",0.00052873231720252,447,71.5492,-7.1767250110461e-05,-0.511897919547199
"SMP_210151",0.000546112531241923,448,71.7094,-5.4580297342321e-05,-0.38930766630738
"SMP_210151",0.000590886026718281,449,71.8696,-1.00002519334795e-05,-0.0713293062199947
"SMP_210151",0.000570880995076618,450,72.0298,-3.01989312705359e-05,-0.215401454927459
"SMP_210151",0.000559213570252921,451,72.19,-4.20602102491272e-05,-0.300005003523294
"SMP_210151",0.00051471721194377,452,72.3502,-8.67506380042967e-05,-0.618770693393457
"SMP_210151",0.000516975966738907,453,72.5104,-8.46861767779272e-05,-0.604045405673253
"SMP_210151",0.000566515465519955,454,72.6706,-3.53412045200187e-05,-0.252080009199804
"SMP_210151",0.000535460754674788,455,72.8308,-6.65906836743228e-05,-0.474974760516047
"SMP_210151",0.000522798184990063,456,72.991,-7.94482722858047e-05,-0.566684737566595
"SMP_210151",0.000537044598179847,457,73.1512,-6.53971374720225e-05,-0.466461492738605
"SMP_210151",0.000510897890991013,458,73.3114,-9.17393913177269e-05,-0.654354228200051
"SMP_210151",0.000542484296062288,459,73.4716,-6.03488100158153e-05,-0.430453030410064
"SMP_210151",0.000568956828633493,460,73.6318,-3.40723871580889e-05,-0.243029850988955
"SMP_210151",0.000556216120456824,461,73.792,-4.70094998239779e-05,-0.335307053312065
"SMP_210151",0.000574355526424248,462,73.9522,-2.90668019531394e-05,-0.207326258492572
"SMP_210151",0.000580792767859205,463,74.1124,-2.28265810537554e-05,-0.162816317105756
"SMP_210151",0.000580250855613609,464,74.2726,-2.35658351055365e-05,-0.168089232126759
"SMP_210151",0.000559586002886168,465,74.4328,-4.44283597413993e-05,-0.316896424002761
"SMP_210151",0.000534567386217324,466,74.593,-6.96449872525261e-05,-0.496760347186031
"SMP_210151",0.000637287853244504,467,74.7532,3.28771211668876e-05,0.23450431638564
"SMP_210151",0.000645062843092118,468,74.9134,4.04533958096264e-05,0.288543996345049
"SMP_210151",0.000561528097066192,469,75.0736,-4.3280430849908e-05,-0.308708533141148
"SMP_210151",0.000559493779557762,470,75.2338,-4.55142032523011e-05,-0.324641475308599
"SMP_210151",0.000571112818581521,471,75.394,-3.40950022144863e-05,-0.243191158553373
"SMP_210151",0.000631408183125069,472,75.5542,2.60001324195127e-05,0.185452468542615
"SMP_210151",0.000608526670798787,473,75.7144,2.91798942845373e-06,0.0208132917923862
"SMP_210151",0.000682608513939583,474,75.8746,7.67987923176207e-05,0.547786656875084
"SMP_210151",0.00063900188729649,475,76.0348,3.29907070044226e-05,0.235314495873285
"SMP_210151",0.000596135070555566,476,76.195,-1.00779956567071e-05,-0.0718838328336908
"SMP_210151",0.000649544702720299,477,76.3552,4.3129314506096e-05,0.307630657900173
"SMP_210151",0.00064187703362071,478,76.5154,3.52588784912289e-05,0.251492798141874
"SMP_210151",0.000650024092916288,479,76.6756,4.32027171265568e-05,0.308154220509098
"SMP_210151",0.000614091020076149,480,76.8358,7.06596104957174e-06,0.050399740206154
"SMP_210151",0.00060457362437177,481,76.996,-2.65558929987361e-06,-0.0189416570327662
"SMP_210151",0.000648155596884437,482,77.1562,4.07217483278825e-05,0.290458088017631
"SMP_210151",0.000616705809248947,483,77.3164,9.06683673601366e-06,0.064671488107679
"SMP_210151",0.000660673584045791,484,77.4766,5.28289896733871e-05,0.376816024913366
"SMP_210151",0.000606061871465861,485,77.6368,-1.98885150072905e-06,-0.0141859823797697
"SMP_210151",0.000614238460168804,486,77.797,5.98109304168683e-06,0.0426616469203608
"SMP_210151",0.000623860210153224,487,77.9572,1.53956744676155e-05,0.10981351128639
"SMP_210151",0.00065355519237416,488,78.1174,4.48829549004734e-05,0.320138938043748
"SMP_210151",0.000660211468424304,489,78.2776,5.13309871013261e-05,0.366131145683159
"SMP_210151",0.000663389252986553,490,78.4378,5.42999769214484e-05,0.38730821056635
"SMP_210151",0.000580030206917936,491,78.598,-2.92684236137549e-05,-0.208764375578651
"SMP_210151",0.000606193608554138,492,78.7582,-3.31494500022339e-06,-0.0236446770137622
"SMP_210151",0.000599014325568743,493,78.9184,-1.07047283959975e-05,-0.0763541613590433
"SMP_210151",0.000700149896881004,494,79.0786,9.02197562865527e-05,0.643515050027113
"SMP_210151",0.000636358728589171,495,79.2388,2.62169063140542e-05,0.186998662739231
"SMP_210151",0.000598737660898215,496,79.399,-1.16164469401484e-05,-0.082857222647376
"SMP_210151",0.000672907650726423,497,79.5592,6.23406446106099e-05,0.444660290456787
"SMP_210151",0.000684633386159878,498,79.7194,7.38528602207869e-05,0.526774056988987
"SMP_210151",0.000635736778288539,499,79.8796,2.47421021487181e-05,0.176479251966029
"SMP_210151",0.000655597038590036,500,80.0398,4.43875730404101e-05,0.316605502623587
"SMP_210151",0.000631083069971373,501,80.2,1.96581669712423e-05,0.140216808630704
"SMP_210151",0.000644733760510301,502,80.3602,3.30927631873411e-05,0.23604243720631
"SMP_210151",0.000624567451171825,503,80.5204,1.27096938220892e-05,0.0906550803548341
"SMP_210151",0.000714298659014585,504,80.6806,0.0001022234671025,0.729134529442476
"SMP_210151",0.000706157140504365,505,80.8408,9.3863830662737e-05,0.669507324901416
"SMP_210151",0.000763894166826751,506,81.001,0.00015138204685676,1.07977043461327
"SMP_210151",0.000693396571315212,507,81.1612,8.06649401864135e-05,0.575362926659014
"SMP_210151",0.000661765351245288,508,81.3214,4.88134990956152e-05,0.348174530783955
"SMP_210151",0.000661980836561297,509,81.4816,4.88080446970574e-05,0.348135625917601
"SMP_210151",0.000729147020586582,510,81.6418,0.000115752561482461,0.825634189883692
"SMP_210151",0.000709260670082009,511,81.802,9.5643807381067e-05,0.682203455484003
"SMP_210151",0.000710985148249585,512,81.9622,9.7145136763258e-05,0.69291206402224
"SMP_210151",0.000716069596022203,513,82.1224,0.000102005681730303,0.727581120627673
"SMP_210151",0.000713990844728914,514,82.2826,9.97022647796299e-05,0.711151421244118
"SMP_210151",0.000763697826599023,515,82.4428,0.00014918380930892,1.06409095371247
"SMP_210151",0.000709145800156498,516,82.603,9.44055650105161e-05,0.673371381071167
"SMP_210151",0.000788687191219161,517,82.7632,0.000173719948870617,1.23910112584559
"SMP_210151",0.000717261307910141,518,82.9234,0.000102066260180727,0.728013211625917
"SMP_210151",0.000695869889773331,519,83.0836,8.0446229653116e-05,0.573802918900521
"SMP_210151",0.000700403135552121,520,83.2438,8.47500471995498e-05,0.604500977482106
"SMP_210151",0.000665552165229484,521,83.404,4.96688239713767e-05,0.354275350081968
"SMP_210151",0.000762687356252126,522,83.5642,0.00014657292858368,1.04546819180674
"SMP_210151",0.000713159543645651,523,83.7244,9.68131872304378e-05,0.690544350685254
"SMP_210151",0.000720922914220183,524,83.8846,0.000104343777890153,0.744258178172532
"SMP_210151",0.000659266838290298,525,84.0448,4.2454062045775e-05,0.302814250289801
"SMP_210151",0.000707044060887995,526,84.205,8.99967758976794e-05,0.641924586452315
"SMP_210151",0.000735753368000009,527,84.3652,0.000118470696600978,0.845021970662188
"SMP_210151",0.000707505996322587,528,84.5254,8.99870520202935e-05,0.641855228456905
"SMP_210151",0.000764489940221141,529,84.6856,0.000146733827689414,1.04661584505186
"SMP_210151",0.000708345043135614,530,84.8458,9.03508582166574e-05,0.644450167440221
"SMP_210151",0.000686003432648881,531,85.006,6.77702623532765e-05,0.48338840142843
"SMP_210151",0.000727642884619131,532,85.1662,0.000109169807125835,0.778681042663193
"SMP_210151",0.000689083000574134,533,85.3264,7.03690852304794e-05,0.501925157707433
"SMP_210151",0.000688056057851146,534,85.4866,6.91003651728417e-05,0.492875693543863
"SMP_210151",0.000675780460696652,535,85.6468,5.65820423677831e-05,0.403585614987604
"SMP_210151",0.000692472339804765,536,85.807,7.30302386777926e-05,0.52090650241799
"SMP_210151",0.00071859622256649,537,85.9672,9.89094726622514e-05,0.705496632536249
"SMP_210151",0.000626073877628901,538,86.1274,6.14150413660809e-06,0.0438058193059001
"SMP_210151",0.000658926522789183,539,86.2876,3.87475420664258e-05,0.276376566481816
"SMP_210151",0.000631582869696217,540,86.4478,1.11562892689596e-05,0.0795750325929615
"SMP_210151",0.000577991714725723,541,86.608,-4.26834667116932e-05,-0.304450536632628
"SMP_210151",0.000544970838723765,542,86.7682,-7.59539538610929e-05,-0.54176063459355
"SMP_210151",0.000532469047610146,543,86.9284,-8.87063750910603e-05,-0.632720478906413
"SMP_210151",0.000595758010711071,544,87.0886,-2.56690699070147e-05,-0.183091082100652
"SMP_210151",0.000581689872795737,545,87.2488,-3.99899023713832e-05,-0.285238013095095
"SMP_210151",0.000592867597198468,546,87.409,-2.9065917981465e-05,-0.207319953342795
"SMP_210151",0.000635960829921796,547,87.5692,1.37725204336466e-05,0.0982359578506036
"SMP_210151",0.000611825593801712,548,87.7294,-1.06185731216798e-05,-0.0757396372465352
"SMP_210151",0.000657787871116848,549,87.8896,3.50867747995619e-05,0.250265225376091
"SMP_210151",0.000602123187769881,550,88.0498,-2.08359187315732e-05,-0.148617418587593
"SMP_210151",0.000632010644482722,551,88.21,8.79243817520075e-06,0.0627142715194625
"SMP_210151",0.000609369202712603,552,88.3702,-1.41092018545084e-05,-0.100637422566391
"SMP_210151",0.000556295495671808,553,88.5304,-6.74442144400397e-05,-0.481062782873982
"SMP_210151",0.000644164551851267,554,88.6906,2.01624200779116e-05,0.143813520443292
"SMP_210151",0.000568736599631626,555,88.8508,-5.55290787516316e-05,-0.396075087781431
"SMP_210151",0.000589413347708498,556,89.011,-3.51170110646798e-05,-0.250480893124052
"SMP_210151",0.000625393185501943,557,89.1712,5.97003727201132e-07,0.00425827888689909
"SMP_210151",0.000640780590277928,558,89.3314,1.57174340583562e-05,0.112108542304591
"SMP_210151",0.000599211808108093,559,89.4916,-2.61194828311988e-05,-0.186303765301863
"SMP_210151",0.000618430414886967,560,89.6518,-7.17017987856043e-06,-0.0511431071549341
"SMP_210151",0.00060350999654073,561,89.812,-2.2361079989171e-05,-0.159496013957161
"SMP_210151",0.00057735825889353,562,89.9722,-4.87844861705071e-05,-0.347967588815579
"SMP_210151",0.000527378952261938,563,90.1324,-9.90366569376224e-05,-0.706403806293936
"SMP_210151",0.00058324302881362,564,90.2926,-4.34466489544733e-05,-0.309894125480092
"SMP_210151",0.000597921960928212,565,90.4528,-2.90429986730499e-05,-0.207156475624517
"SMP_210151",0.000581120475999149,566,90.613,-4.61209875315385e-05,-0.328969516437073
"SMP_210151",0.000575050981806562,567,90.7732,-5.24682165814347e-05,-0.374242720308344
"SMP_210151",0.000616468882989479,568,90.9334,-1.13292900153325e-05,-0.080809003826527
"SMP_210151",0.000607927387100559,569,91.0936,-2.01510091121987e-05,-0.143732128867058
"SMP_210151",0.000627257841088914,570,91.2538,-1.1020357545431e-06,-0.00786054654663453
"SMP_210151",0.00057934975518347,571,91.414,-4.92928685450656e-05,-0.351593753667518
"SMP_210151",0.000598464736088173,572,91.5742,-3.04619096114439e-05,-0.217277213931595
"SMP_210151",0.000558064445288824,573,91.7344,-7.11475062995001e-05,-0.507477441306847
"SMP_210151",0.000558736832623981,574,91.8946,-7.07617176023004e-05,-0.50472570662038
